User|Tweet
ihaveanxiety___|@AkhiMoin thank you
ihaveanxiety___|But no one will ever see it, because I am too afraid to follow people. All the anxiety accounts are not my anxiety
ihaveanxiety___|Even starting this account took so much courage.
ihaveanxiety___|"I tell people about my issues, they say ""go see your counselor"" and they done see that the idea is terrifying"
ihaveanxiety___|I  scared of talking to people.
ihaveanxiety___|Sometimes I am too scared to get up in class just to throw something away because then people might notice me
ihaveanxiety___|I always feel bad when people try and talk to me but I don't know how to talk to people and I think I just seem like a bitch
ihaveanxiety___|Sometimes I am too scared to even talk to my grandparents on the phone
ihaveanxiety___|When you get invited to a party and are too scared to talk to people so you kinda just sit in the corner and occasionally smile
ihaveanxiety___|Hello. I am scared of people.
hollygracexox|http://t.co/rZgwQSRxQc
hollygracexox|I want him, and I also want to get over him, but neither are happening
hollygracexox|I just hope your happier
hollygracexox|I wonder if you think about me as much as I think off you
hollygracexox|Im so still in love with you
hollygracexox|I can't believe your gone😪💔💔
hollygracexox|It's sad how quickly things have changed between us
hollygracexox|It's going to kill me when you leave
hollygracexox|Nobody understands how much happier I've been since you came into my life
hollygracexox|@FuckPeople20 no?
hollygracexox|Nothing scares me more than losing you
hollygracexox|Your the one who's in the wrong though Im the one always apologising
hollygracexox|One of the hardest things in life is watching the one you love, love someone else
hollygracexox|If you told me you missed me I would be so happy
hollygracexox|I'm scared that your going to move on, find someone new and forgot about me
hollygracexox|You said you would always be here, but where are you now?
hollygracexox|I wish😔 http://t.co/P7KYpUlO7f
hollygracexox|💔 http://t.co/gEMO7KPLDe
hollygracexox|http://t.co/PXaR3yFp2T
hollygracexox|http://t.co/RHfQB7mYuU
hollygracexox|Do you just wonder how many people actually notice you
hollygracexox|I hope I do you proud one day
hollygracexox|WHY DO I HAVE TO BE SO FAT
hollygracexox|Looking at other people and just wishing I could look like them
hollygracexox|http://t.co/v6azu9Eon7
hollygracexox|http://t.co/TtBqTKZEiH
hollygracexox|I can never stop loving you&lt;3
hollygracexox|All this will soon just be a memory
hollygracexox|I don't even know how I let myself get so attached to you
hollygracexox|It's so scary thinking you could just end everything at any time
hollygracexox|I was a mistake anyway
hollygracexox|I can only hold it in for so long until I just breakdown into tears
hollygracexox|How can you understand me when I don't even understand myself?
hollygracexox|I've missed you so much lately💔
hollygracexox|http://t.co/GZV8eVYJWc
hollygracexox|http://t.co/HENz3tuYZJ
hollygracexox|😔 http://t.co/roFChFcTO9
hollygracexox|I just really hope I have the courage to go someday
hollygracexox|At 11:11 I'm sick of wishing for you
hollygracexox|Don't think I have one true friend
hollygracexox|Always second best
SkinnyLana|I want the perfect body, i want the perfection soul.
SkinnyLana|I need to loose weight
SkinnyLana|I need to stop eating
SkinnyLana|❤️❤️❤️ http://t.co/ZxBxoVoJTb
SkinnyLana|#Thinspo http://t.co/vYwGYuOB9F
SkinnyLana|#wantthis#thinspo http://t.co/D8vPcM3znR
SkinnyLana|Fucking perfection #thinspo http://t.co/9WV5g4y59o
SkinnyLana|Kylie❤️ http://t.co/i5UC0SvVqt
SkinnyLana|💊💊💊💊💊 http://t.co/eQad8Yxdu7
SkinnyLana|Amazing http://t.co/JhSAKf8czw
SkinnyLana|I like abs, but i prefer bones. http://t.co/WB5mVnY3fi
SkinnyLana|Perfection http://t.co/YvOrNxxnnc
SkinnyLana|Tan vaca que soy lo unico que deberia comer es pasto
SkinnyLana|Soy una vaca
SkinnyLana|Peso 54kg
SkinnyLana|"My ""friends"" are slow killing me"
SkinnyLana|Cool, just have a huge binge and i can't throw up
SkinnyLana|#picslip fat failure http://t.co/6godYMTL6w
SkinnyLana|#picslip this is why i want to kill myself http://t.co/GoTfiSSekH
SkinnyLana|I'm insane
SkinnyLana|#thinspo http://t.co/xotHgs9qGa
SkinnyLana|Queen Of Disaster
SkinnyLana|Butterfly project http://t.co/Ur01IP0Ile
SkinnyLana|I'm so dizzy
SkinnyLana|#thinspo ❗️❗️❗️❗️❗️ http://t.co/MDD5c91OyI
SkinnyLana|Happy birthday Queen ♚♚♚♚ http://t.co/PIHz9QZGBp
SkinnyLana|@partypelado promoting mental illness?
SkinnyLana|Just want to be loved
SkinnyLana|I just want to be tiny &amp; fragile
SkinnyLana|I need to be pretier
SkinnyLana|I need to be skinnier
SkinnyLana|I need to loose weight
SkinnyLana|I don't want food, i don't care if it is healthy
SkinnyLana|Fuck you Instagram
SkinnyLana|Nobody loves me.
SkinnyLana|Emotionless.
SkinnyLana|Cuts cuts cuts
SkinnyLana|Anyone can recommend me a book on eating disorders?
SkinnyLana|Mi peor enemiga: la palta
SkinnyLana|Mi worst enemy: avocado
SkinnyLana|Necesito bajar 5 kilos. Ayuda
SkinnyLana|Thinspo❗️❗️❗️❗️ http://t.co/1Hj0D4bLLN
SkinnyLana|Gorda gorda gorda
SkinnyLana|@fatbulimia bienvenida amiga😘
SkinnyLana|Just starting this account on instagram, i want to gathered enough strengh to post picslips
SkinnyLana|Follow me on instagram: perfectionpsycho !!! Pleaseeee
SkinnyLana|Feeling fat.
SkinnyLana|goals http://t.co/UgO4LMCNJ2
